,character,structure,segment,number,
U+062D0,拐,0,扌冎,冎聲,
U+062D1,拑,0,扌甘,甘聲,
U+062D2,拒,0,扌巨,巨聲,
U+062D3,拓,0,扌石,石聲,
U+062D4,拔,0,扌犮,犮聲,
U+062D5,拕,0,扌它,它聲,
U+062D7,拗,0,扌幼,幼聲,
U+062D8,拘,0,扌句,句亦聲,
U+062D9,拙,0,扌出,出聲,
U+062DA,拚,0,扌弁,弁聲,
U+062DB,招,0,扌召,召聲,
U+062ED,拭,0,扌式,式聲,
U+062EE,拮,0,扌吉,吉聲,
U+062EF,拯,0,扌丞,丞聲,
U+062F1,拱,0,扌共,共聲,
U+062F2,拲,1,共手,共聲,
U+062F3,拳,1,𠔉手,𠔉聲,
U+062F5,拵,0,扌存,存聲,
U+062F6,拶,0,扌𡿪,𡿪聲,
U+062F7,拷,0,扌考,考聲,
U+062F9,拹,0,扌劦,劦聲,
U+062FE,拾,0,扌合,合聲,
U+06301,持,0,扌寺,寺聲,
U+06302,挂,0,扌圭,圭聲,
U+06303,挃,0,扌至,至聲,
U+06307,指,0,扌旨,旨聲,
U+06308,挈,1,㓞手,㓞聲,
U+06309,按,0,扌安,安聲,
U+0630B,挋,0,扌臣,臣聲,
U+0630C,挌,0,扌各,各聲,
U+0630F,挏,0,扌同,同聲,
U+06310,挐,1,如手,如聲,
U+06311,挑,0,扌兆,兆聲,
U+06318,挘,0,扌劣,国字,
U+06327,挧,0,扌羽,国字,
U+06328,挨,0,扌矣,矣聲,
U+06329,挩,0,扌兌,兌聲,
U+0632F,振,0,扌辰,辰聲,
U+06336,挶,0,扌局,局聲,
U+06339,挹,0,扌邑,邑聲,
U+0633A,挺,0,扌廷,廷聲,
U+0633B,挻,0,扌延,延亦聲,
U+0633C,挼,0,扌妥,妥聲,
U+0633D,挽,0,扌免,免聲,
U+0633E,挾,0,扌夾,夾聲,
U+06340,捀,0,扌夆,夆聲,
U+06344,捄,0,扌求,求聲,
U+06347,捇,0,扌赤,赤聲,
U+06348,捈,0,扌余,余聲,
U+06349,捉,0,扌足,足聲,
U+0634A,捊,0,扌孚,孚聲,
U+0634B,捋,0,扌寽,寽聲,
U+0634C,捌,0,扌別,別聲,
U+0634D,捍,0,扌旱,旱聲,
U+0634E,捎,0,扌肖,肖聲,
U+0634F,捏,0,扌圼,圼聲,
U+06350,捐,0,扌肙,肙聲,
U+06355,捕,0,扌甫,甫聲,
U+06357,捗,0,扌步,步聲,
U+06358,捘,0,扌夋,夋聲,
U+06364,捤,0,扌尾,国字,
U+06366,捦,0,扌金,金聲,
U+06367,捧,0,扌奉,奉聲,
U+06368,捨,0,扌舎,舎聲,
U+06369,捩,0,扌戻,戾聲,
U+0636A,捪,0,扌昏,昏聲,
U+0636B,捫,0,扌門,門聲,
U+0636D,捭,0,扌卑,卑聲,
U+0636E,据,0,扌居,居聲,
U+06372,捲,0,扌卷,卷聲,
U+06377,捷,0,扌疌,疌聲,
U+0637A,捺,0,扌奈,奈聲,
U+0637B,捻,0,扌念,念聲,
U+0637D,捽,0,扌卒,卒聲,
U+0637E,捾,0,扌官,官聲,
U+06380,掀,0,扌欣,欣聲,
U+06383,掃,0,扌帚,帚聲,
U+06384,掄,0,扌侖,侖聲,
U+06387,掇,0,扌叕,叕聲,
U+06388,授,0,扌受,受亦聲,
U+06389,掉,0,扌卓,卓聲,
U+0638A,掊,0,扌咅,咅聲,
U+0638C,掌,1,尚手,尚聲,
U+0638D,掍,0,扌昆,昆聲,
U+0638E,掎,0,扌奇,奇聲,
U+0638F,掏,0,扌匋,匋聲,
U+06390,掐,0,扌臽,臽聲,
U+06392,排,0,扌非,非聲,
U+06394,掔,1,臤手,臤聲,
U+06395,掕,0,扌夌,夌聲,
U+06396,掖,0,扌夜,夜聲,
U+0639B,掛,0,扌卦,卦聲,
U+0639C,掜,0,扌兒,兒聲,
U+0639F,掟,0,扌定,定聲,
U+063A0,掠,0,扌京,京聲,
U+063A1,採,0,扌采,采聲,
U+063A2,探,0,扌罙,罙聲,
U+063A3,掣,1,制手,制聲,
U+063A4,掤,0,扌朋,朋聲,
U+063A5,接,0,扌妾,妾聲,
U+063A7,控,0,扌空,空聲,
U+063A8,推,0,扌隹,隹聲,
U+063A9,掩,0,扌奄,奄聲,
U+063AB,掫,0,扌取,取聲,
U+063AC,掬,0,扌匊,匊聲,
U+063B2,掲,0,扌曷,曷聲,
U+063B5,掵,0,扌命,国字,
U+063BE,掾,0,扌彖,彖聲,
U+063C0,揀,0,扌柬,柬聲,
U+063C2,揂,0,扌酋,酋聲,
U+063C4,揄,0,扌兪,兪聲,
U+063C9,揉,0,扌柔,柔聲,
U+063CF,描,0,扌苗,苗聲,
U+063D0,提,0,扌是,是聲,
U+063D2,插,0,扌臿,臿聲,
U+063D4,揔,0,扌怱,怱聲,
U+063D6,揖,0,扌咠,咠聲,
U+063D7,揗,0,扌盾,盾聲,
U+063D9,揙,0,扌扁,扁聲,
U+063DA,揚,0,扌昜,昜聲,
U+063DB,換,0,扌奐,奐聲,
U+063DC,揜,0,扌弇,弇聲,
U+063DF,揟,0,扌胥,胥聲,
U+063E0,揠,0,扌匽,匽聲,
U+063E1,握,0,扌屋,屋聲,
U+063E3,揣,0,扌耑,耑聲,
U+063E4,揤,0,扌卽,卽聲,
U+063E9,揩,0,扌皆,皆聲,
U+063ED,揭,0,扌曷,曷聲,
U+063EE,揮,0,扌軍,軍聲,
U+063F1,揱,1,削手,削聲,
U+063F2,揲,0,扌枼,枼聲,
U+063F4,援,0,扌爰,爰聲,
U+063F6,揶,0,扌耶,耶聲,
U+06406,搆,0,扌冓,冓聲,
U+06408,搈,0,扌容,容聲,
U+06409,搉,0,扌隺,隺聲,
U+0640D,損,0,扌員,員聲,
U+0640F,搏,0,扌尃,尃聲,
U+06411,搑,0,扌茸,茸聲,
U+06414,搔,0,扌蚤,蚤聲,
U+06416,搖,0,扌䍃,䍃聲,
U+06417,搗,0,扌島,島聲,
U+06423,搣,0,扌烕,烕聲,
U+06424,搤,0,扌益,益聲,
U+06426,搦,0,扌弱,弱聲,
U+06428,搨,0,扌𦐇,𦐇聲,
U+0642B,搫,1,般手,般聲,
U+0642C,搬,0,扌般,般聲,
U+0642D,搭,0,扌荅,荅聲,
U+0642F,搯,0,扌舀,舀聲,
U+06430,搰,0,扌骨,骨聲,
U+06433,搳,0,扌害,害聲,
U+06434,搴,1,寒手,寒聲,
U+06435,搵,0,扌𥁕,𥁕聲,
U+06436,搶,0,扌倉,倉聲,
U+06439,搹,0,扌鬲,鬲聲,
U+0644D,摍,0,扌宿,宿聲,
U+0644E,摎,0,扌翏,翏聲,
U+06451,摑,0,扌國,國聲,
U+06455,摕,0,扌帶,帶聲,
U+0645B,摛,0,扌离,离聲,
U+0645C,摜,0,扌貫,貫聲,
U+0645F,摟,0,扌婁,婁聲,
U+06461,摡,0,扌既,既聲,
U+06466,摦,0,扌瓠,瓠聲,
U+06467,摧,0,扌崔,崔聲,
U+06469,摩,8,麻手,麻聲,
U+0646C,摬,0,扌竟,竟聲,
U+0646D,摭,0,扌庶,庶聲,
U+06473,摳,0,扌區,區聲,
U+06474,摴,0,扌雩,雩聲,
U+06475,摵,0,扌戚,戚聲,
U+06476,摶,0,扌專,專聲,
U+06477,摷,0,扌巢,巢聲,
U+06478,摸,0,扌莫,莫聲,
U+06479,摹,1,莫手,莫聲,
U+0647A,摺,0,扌習,習聲,
U+0647B,摻,0,扌參,參聲,
U+0647C,摼,0,扌堅,堅聲,
U+06485,撅,0,扌厥,厥聲,
U+06486,撆,1,敝手,敝聲,
U+06488,撈,0,扌勞,勞聲,
U+0648E,撎,0,扌壹,壹聲,
U+06492,撒,0,扌散,散聲,
U+06493,撓,0,扌堯,堯聲,
U+06495,撕,0,扌斯,斯聲,
U+0649A,撚,0,扌然,然聲,
U+0649C,撜,0,扌登,登聲,
U+0649D,撝,0,扌爲,爲聲,
U+0649E,撞,0,扌童,童聲,
U+0649F,撟,0,扌喬,喬聲,
U+064A2,撢,0,扌覃,覃聲,
U+064A3,撣,0,扌單,單聲,
U+064A4,撤,0,扌徹,徹聲,
U+064A5,撥,0,扌發,發聲,
U+064A9,撩,0,扌尞,尞聲,
U+064AD,播,0,扌番,番聲,
U+064AE,撮,0,扌最,最聲,
U+064B2,撲,0,扌菐,菐聲,
U+064BB,撻,0,扌達,達聲,
U+064BC,撼,0,扌感,感聲,
U+064BF,撿,0,扌僉,僉聲,
U+064C2,擂,0,扌雷,雷聲,
U+064C5,擅,0,扌亶,亶聲,
U+064C7,擇,0,扌睪,睪聲,
U+064CA,擊,1,𣪠手,𣪠聲,
U+064CD,操,0,扌喿,喿聲,
U+064D2,擒,0,扌禽,禽聲,
U+064D4,擔,0,扌詹,詹聲,
U+064D6,擖,0,扌葛,葛聲,
U+064D8,擘,1,辟手,辟聲,
U+064DA,據,0,扌豦,豦聲,
U+064E0,擠,0,扌齊,齊聲,
U+064E1,擡,0,扌臺,臺聲,
U+064E2,擢,0,扌翟,翟聲,
U+064E5,擥,1,監手,監聲,
U+064E6,擦,0,扌察,察聲,
U+064E7,擧,1,與手,會意,
U+064EA,擪,8,厭手,厭聲,
U+064EC,擬,0,扌疑,疑聲,
U+064ED,擭,0,扌蒦,蒦聲,
U+064EF,擯,0,扌賓,賓聲,
U+064F1,擱,0,扌閣,閣聲,
U+064F2,擲,0,扌鄭,鄭聲,
U+064F4,擴,0,扌廣,廣聲,
U+064F6,擶,0,扌箭,箭聲,
U+064F7,擷,0,扌頡,頡聲,
U+064F8,擸,0,扌巤,巤聲,
U+064FA,擺,0,扌罷,罷聲,
U+064FD,擽,0,扌樂,樂聲,
U+064FF,擿,0,扌適,適聲,
U+06500,攀,1,樊手,樊聲,
U+06505,攅,0,扌賛,賛聲,
U+06508,攈,0,扌麇,麇聲,
U+0650E,攎,0,扌盧,盧聲,
U+06510,攐,0,扌褰,褰聲,
U+06515,攕,0,扌韱,韱聲,
U+06518,攘,0,扌襄,襄聲,
U+06519,攙,0,扌毚,毚聲,
U+0651C,攜,0,扌巂,巂聲,
U+0651D,攝,0,扌聶,聶聲,
U+06523,攣,1,䜌手,䜌聲,
U+06524,攤,0,扌難,難聲,
U+06529,攩,0,扌黨,黨聲,
U+0652A,攪,0,扌覺,覺聲,
U+0652B,攫,0,扌矍,矍聲,
U+0652C,攬,0,扌覽,覽聲,
U+0652F,支,1,十又,會意,
U+06532,攲,0,奇支,奇聲,
U+06534,攴,1,卜又,會意,
U+06536,收,0,丩攵,丩聲,
U+06537,攷,0,丂攵,丂聲,
U+06539,改,0,己攵,己聲,
U+0653B,攻,0,工攵,工聲,
U+0653D,攽,0,分攵,分聲,
U+0653E,放,0,方攵,方聲,
U+0653F,政,0,正攵,正亦聲,
U+06543,敃,0,民攵,民聲,
U+06544,敄,0,矛攴,矛聲,
U+06545,故,0,古攵,古聲,
U+06546,敆,0,合攴,合亦聲,
U+06547,敇,0,朿攵,朿聲,
U+06548,效,0,交攵,交聲,
U+06549,敉,0,米攵,米聲,
U+0654D,敍,0,余攴,余聲,
U+0654E,敎,0,𡥉攵,會意,
U+0654F,敏,0,毎攵,毎聲,
U+06551,救,0,求攵,求聲,
U+06552,敒,0,伸攵,伸聲,
U+06553,敓,0,兌攵,兌聲,
U+06554,敔,0,吾攵,吾聲,
U+06555,敕,0,束攵,束聲,
U+06557,敗,0,貝攵,貝亦聲,
U+0655C,敜,0,念攵,念聲,
U+0655D,敝,0,㡀攵,㡀亦聲,
U+0655E,敞,0,尚攵,尚聲,
U+0655F,敟,0,典攵,典聲,
U+06561,敡,0,易攴,易亦聲,
U+06564,敤,0,果攴,果聲,
U+0656B,敫,6,放白,會意,
U+0656C,敬,0,茍攵,茍聲,
U+06571,敱,0,豈攴,豈聲,
U+06572,敲,0,高攴,高聲,
U+06574,整,1,敕正,正亦聲,
U+06576,敶,0,陳攵,陳聲,
U+06577,敷,0,旉攵,旉聲,
U+06579,敹,0,𥹄攵,會意,
U+0657A,敺,0,區攴,區聲,
U+0657D,敽,0,喬攴,喬聲,
U+06580,斀,0,蜀攴,蜀聲,
U+06582,斂,0,僉攵,僉聲,
U+06583,斃,0,敝攵,敝聲,
U+06584,斄,8,𠩺來,來聲,
U+06585,斅,B,𦥑B,冂敎,
U+06587,文,,文,象形,
U+06590,斐,1,非文,非聲,
U+06599,料,0,米斗,會意,
U+0659B,斛,0,角斗,角聲,
U+0659C,斜,0,余斗,余聲,
U+0659D,斝,,斝,象形,
U+0659E,斞,0,臾斗,臾聲,
U+0659F,斟,0,甚斗,甚聲,
U+065A0,斠,0,冓斗,冓聲,
U+065A1,斡,8,倝斗,倝聲,
U+065A3,斣,0,蜀斗,蜀聲,
U+065A4,斤,,斤,象形,
U+065A6,斦,0,斤斤,會意,
U+065A7,斧,1,父斤,父聲,
U+065A8,斨,0,爿斤,爿聲,
U+065AA,斪,0,句斤,句聲,
U+065AB,斫,0,石斤,石聲,
U+065AC,斬,0,車斤,會意,
U+065AF,斯,0,其斤,其聲,
U+065B2,斲,0,𠁁斤,𠁁聲,
U+065B8,斸,0,屬斤,屬聲,
U+065B9,方,,方,象形,
U+065BC,於,,於,象形,
U+065BD,施,8,㫃也,也聲,
U+065BF,斿,8,㫃子,子聲,
U+065C2,旂,8,㫃斤,斤聲,
U+065C3,旃,8,㫃丹,丹聲,
U+065C4,旄,8,㫃毛,毛聲,
U+065C5,旅,8,㫃从,會意,
U+065C6,旆,8,㫃巿,巿聲,
U+065C7,旇,8,㫃皮,皮聲,
U+065C9,旉,1,甫方,甫聲,
U+065CB,旋,8,㫃疋,會意,
U+065CC,旌,8,㫃生,生聲,
U+065CF,族,8,㫃矢,會意,
U+065D0,旐,8,㫃兆,兆聲,
U+065D2,旒,8,㫃㐬,㐬聲,
U+065D6,旖,8,㫃奇,奇聲,
U+065D7,旗,8,㫃其,其聲,
U+065DB,旛,8,㫃番,番聲,
U+065DC,旜,8,㫃亶,亶聲,
U+065DD,旝,8,㫃會,會聲,
U+065DE,旞,8,㫃遂,遂聲,
U+065DF,旟,8,㫃與,與聲,
U+065E3,旣,0,皀旡,旡聲,
U+065E5,日,,日,象形,
U+065E6,旦,1,日一,指事,
U+065EA,旪,0,日十,會意,
U+065EC,旬,9,勹日,會意,
U+065ED,旭,A,九日,九聲,
U+065F0,旰,0,日干,干聲,
U+065F1,旱,1,日干,干聲,
U+065F3,旳,0,日勺,勺聲,
U+065FA,旺,0,日王,王聲,
U+065FB,旻,1,日文,文聲,
U+06602,昂,1,日卬,卬聲,
U+06603,昃,1,日仄,仄聲,
U+06604,昄,0,日反,反聲,
U+06606,昆,,昆,象形,
U+06607,昇,1,日升,升聲,
U+06608,昈,0,日戶,戶聲,
U+06609,昉,0,日方,方聲,
U+0660C,昌,1,日曰,會意,
U+0660E,明,0,日月,會意,
U+0660F,昏,1,氐日,會意,
U+06612,昒,0,日勿,勿聲,
U+06613,易,,易,象形,
U+06615,昕,0,日斤,斤聲,
U+0661C,昜,,昜,象形,
U+06620,映,0,日央,央聲,
U+06626,昦,1,日夰,夰聲,
U+06627,昧,0,日未,未聲,
U+06628,昨,0,日乍,乍聲,
U+0662A,昪,1,日弁,弁聲,
U+0662B,昫,0,日句,句聲,
U+0662D,昭,0,日召,召聲,
U+06630,昰,1,日正,會意,
U+06631,昱,1,日立,會意,
U+06633,昳,0,日失,失聲,
U+06635,昵,0,日尼,尼聲,
U+06636,昶,A,永日,會意,
U+06641,晁,1,日兆,兆聲,
U+06642,時,0,日寺,寺聲,
U+06643,晃,1,日光,光聲,
U+06644,晄,0,日光,光聲,
U+0664C,晌,0,日向,會意,
U+0664F,晏,1,日安,安聲,
U+06650,晐,0,日亥,亥聲,
U+06652,晒,0,日西,西聲,
U+06659,晙,0,日夋,夋聲,
U+0665B,晛,0,日見,見亦聲,
U+0665D,晝,1,畫日,會意,
U+0665E,晞,0,日希,希聲,
U+0665F,晟,1,日成,成聲,
U+06662,晢,1,折日,折聲,
U+06664,晤,0,日吾,吾聲,
U+06666,晦,0,日毎,毎聲,
U+06667,晧,0,日告,告聲,
U+06668,晨,1,日辰,辰聲,
U+06669,晩,0,日免,免聲,
U+0666C,晬,0,日卒,卒亦聲,
U+0666F,景,1,日京,京聲,
U+06670,晰,0,日析,析聲,
U+06674,晴,0,日靑,靑聲,
U+06675,晵,1,啟日,啟聲,
U+06676,晶,1,日0,日日,
U+06677,晷,1,日咎,咎聲,
U+06679,晹,0,日易,易聲,
U+0667A,智,1,知日,知聲,
U+0667B,晻,0,日奄,奄聲,
U+06680,暀,0,日往,往聲,
U+06683,暃,1,日非,国字,
U+06684,暄,0,日宣,宣聲,
U+06686,暆,0,日施,施聲,
U+06687,暇,0,日叚,叚聲,
U+06688,暈,1,日軍,軍聲,
U+06689,暉,0,日軍,軍聲,
U+0668D,暍,0,日曷,曷聲,
U+0668F,暏,0,日者,者聲,
U+06691,暑,1,日者,者聲,
U+06696,暖,0,日爰,爰聲,
U+06697,暗,0,日音,音聲,
U+06698,暘,0,日昜,昜聲,
U+0669C,暜,1,竝日,竝聲,
U+0669D,暝,0,日冥,冥聲,
U+066A2,暢,0,申昜,昜聲,
U+066A4,暤,0,日皋,皋聲,
U+066AB,暫,1,斬日,斬聲,
U+066AC,暬,1,埶日,埶聲,
U+066AE,暮,1,莫日,莫聲,
U+066B1,暱,0,日匿,匿聲,
U+066B5,暵,0,日𡏳,𡏳聲,
U+066B8,暸,0,日尞,尞聲,
U+066B9,暹,A,進日,會意,
U+066BC,暼,1,敝日,敝聲,
U+066C0,曀,0,日壹,壹聲,
U+066C1,曁,1,旣旦,旣聲,
U+066C6,曆,8,厤日,厤聲,
U+066C7,曇,1,日雲,雲聲,
U+066C8,曈,0,日童,童聲,
U+066C9,曉,0,日堯,堯聲,
U+066CF,曏,1,日鄉,鄉聲,
U+066D0,曐,1,晶生,生聲,
U+066D1,曑,1,晶㐱,㐱聲,
U+066D6,曖,0,日愛,愛聲,
U+066D9,曙,0,日署,署聲,
U+066DA,曚,0,日蒙,蒙聲,
U+066DC,曜,0,日翟,翟聲,
U+066DF,曟,1,晶辰,辰聲,
U+066E0,曠,0,日廣,廣聲,
U+066E1,曡,1,晶冝,會意,
U+066E6,曦,0,日羲,羲聲,
U+066E8,曨,0,日龍,龍聲,
U+066E9,曩,1,日襄,襄聲,
U+066EB,曫,1,䜌日,䜌聲,
U+066EC,曬,0,日麗,麗聲,
U+066F0,曰,,曰,象形,
U+066F3,曳,B,申丿,丿聲,
U+066F7,曷,1,曰匃,匃聲,
U+066FC,曼,3,冃目又,會意,
U+066FE,曾,,曾,象形,
U+06700,最,1,冃取,會意,
U+06701,朁,1,0,旡旡曰,
U+06703,會,1,亼曾,會意,
U+06705,朅,0,去曷,曷聲,
U+06707,朇,0,會卑,卑聲,
U+06708,月,,月,象形,
U+06709,有,8,又肉,又聲,
U+0670F,朏,0,月出,會意,
U+06712,朒,0,月肉,肉聲,
U+06713,朓,0,月兆,兆聲,
U+06714,朔,0,屰月,屰聲,
U+06717,朗,0,良月,良聲,
U+06718,朘,0,月夋,夋聲,
U+06719,朙,0,囧月,會意,
U+0671E,朞,1,其月,其聲,
U+0671F,期,0,其月,其聲,
U+06722,朢,A,𦣠月,𦣠聲,
U+06726,朦,0,月蒙,蒙聲,
U+06727,朧,0,月龍,龍聲,
U+06728,木,,木,象形,
U+0672A,未,,未,象形,
U+0672B,末,B,木一,指事,
U+0672C,本,B,木一,指事,
U+0672D,札,0,木乙,乙聲,
U+0672E,朮,,朮,象形,
U+06731,朱,,朱,象形,
U+06734,朴,0,木卜,卜聲,
U+06735,朵,,朵,象形,
U+06737,朷,0,木刀,刀聲,
U+06738,朸,0,木力,力聲,
U+0673A,机,0,木几,几聲,
U+0673B,朻,0,木丩,丩亦聲,
U+0673D,朽,0,木丂,丂聲,
U+0673E,朾,0,木丁,丁聲,
U+0673F,朿,,朿,象形,
U+06741,杁,0,木入,国字,
U+06746,杆,0,木干,干聲,
U+06747,杇,0,木亏,亏聲,
U+06748,杈,0,木叉,叉聲,
U+06749,杉,0,木彡,彡聲,
U+0674D,杍,0,木子,子聲,
U+0674F,杏,1,木口,口聲,
U+06750,材,0,木才,才聲,
U+06751,村,0,木寸,寸聲,
U+06752,杒,0,木刃,刃聲,
U+06753,杓,0,木勺,勺聲,
U+06755,杕,0,木大,大聲,
U+06756,杖,0,木丈,丈聲,
U+06757,杗,1,亡木,亡聲,
U+06758,杘,8,尸木,尸聲,
U+06759,杙,0,木弋,弋聲,
U+0675C,杜,0,木土,土聲,
U+0675D,杝,0,木也,也聲,
U+0675E,杞,0,木己,己聲,
U+0675F,束,,束,象形,
U+06760,杠,0,木工,工聲,
U+06762,杢,1,木工,国字,
U+06763,杣,0,木山,国字,
U+06764,杤,0,木万,国字,
U+0676A,杪,0,木少,少聲,
U+0676D,杭,0,木亢,亢聲,
U+06771,東,B,木日,會意,
U+06772,杲,1,日木,指事,
U+06773,杳,1,木日,指事,
U+06775,杵,0,木午,午聲,
U+06776,杶,0,木屯,屯聲,
U+06777,杷,0,木巴,巴聲,
U+06778,杸,0,木殳,會意,
U+0677C,杼,0,木予,予聲,
U+0677D,杽,0,木手,手亦聲,
U+0677E,松,0,木公,公聲,
U+0677F,板,0,木反,反聲,
U+06781,极,0,木及,及聲,
U+06787,枇,0,木比,比聲,
U+06789,枉,0,木王,王聲,
U+0678A,枊,0,木卬,卬聲,
U+0678B,枋,0,木方,方聲,
U+0678C,枌,0,木分,分聲,
U+0678E,枎,0,木夫,夫聲,
U+0678F,枏,0,木冄,冄聲,
U+06790,析,0,木斤,斤聲,
U+06791,枑,0,木互,互聲,
U+06792,枒,0,木牙,牙聲,
U+06793,枓,0,木斗,斗聲,
U+06795,枕,0,木冘,冘聲,
U+06796,枖,0,木夭,夭聲,
U+06797,林,0,木木,會意,
U+0679C,果,,果,象形,
U+0679D,枝,0,木支,支聲,
U+067A0,枠,0,木卆,国字,
U+067A1,枡,0,木升,国字,
U+067AE,枮,0,木占,占聲,
U+067AF,枯,0,木古,古聲,
U+067B0,枰,0,木平,平亦聲,
U+067B1,枱,0,木台,台聲,
U+067B2,枲,1,台木,台聲,
U+067B3,枳,0,木只,只聲,
U+067B4,枴,0,木叧,會意？,
U+067B5,枵,0,木号,号聲,
U+067B6,架,1,加木,加聲,
U+067B7,枷,0,木加,加聲,
U+067B8,枸,0,木句,句聲,
U+067B9,枹,0,木包,包聲,
U+067BC,枼,1,世木,會意,
U+067C0,柀,0,木皮,皮聲,
U+067C3,柃,0,木令,令聲,
U+067C4,柄,0,木丙,丙聲,
U+067C5,柅,0,木尼,尼聲,
U+067C5,柅,0,木尼,尼聲,
U+067C6,柆,0,木立,立聲,
U+067CA,柊,0,木冬,冬聲,
U+067CD,柍,0,木央,央聲,
U+067CE,柎,0,木付,付聲,
U+067CF,柏,0,木白,白聲,
U+067D0,某,1,曰木,會意,
U+067D1,柑,0,木甘,甘聲,
U+067D3,染,8,氵杂,杂聲,
U+067D4,柔,1,矛木,矛聲,
U+067D6,柖,0,木召,召聲,
U+067D8,柘,0,木石,石聲,
U+067D9,柙,0,木甲,甲聲,
U+067DA,柚,0,木由,由聲,
U+067DC,柜,0,木巨,巨聲,
U+067DE,柞,0,木乍,乍聲,
U+067E0,柠,0,木宁,宁聲,
U+067E2,柢,0,木氐,氐聲,
U+067E4,柤,0,木且,且聲,
U+067E7,柧,0,木瓜,瓜聲,
U+067E9,柩,0,木匛,匛聲,
U+067EB,柫,0,木弗,弗聲,
U+067EC,柬,B,束八,會意,
U+067ED,柭,0,木犮,犮聲,
U+067EE,柮,0,木出,出聲,
U+067EF,柯,0,木可,可聲,
U+067F0,柰,1,木示,示聲,
U+067F1,柱,0,木主,主聲,
U+067F2,柲,0,木必,必聲,
U+067F4,柴,1,此木,此聲,
U+067F6,柶,0,木四,四聲,
U+067FB,査,1,木且,且聲,
U+067FE,柾,0,木正,国字,
U+06800,栀,0,木卮,卮聲,
U+06802,栂,0,木母,国字,
U+06805,栅,0,木册,册聲,
U+0680D,栍,0,木生,国字,
U+06813,栓,0,木全,全聲,
U+06814,栔,1,㓞木,會意,
U+06816,栖,0,木西,西聲,
U+06818,栘,0,木多,多聲,
U+06819,栙,0,木夅,夅聲,
U+0681C,栜,0,木策,策省聲,
U+0681E,栞,1,幵木,幵聲,
U+06820,栠,1,任木,任聲,
U+06821,校,0,木交,交聲,
U+06829,栩,0,木羽,羽聲,
U+0682A,株,0,木朱,朱聲,
U+0682B,栫,0,木存,存聲,
U+0682D,栭,0,木而,而聲,
U+06832,栲,0,木考,考聲,
U+06834,栴,0,木旃,旃聲,
U+06838,核,0,木亥,亥聲,
U+0683C,格,0,木各,各聲,
U+06840,桀,1,舛木,會意,
U+06841,桁,0,木行,行聲,
U+06842,桂,0,木圭,圭聲,
U+06843,桃,0,木兆,兆聲,
U+06844,桄,0,木光,光聲,
U+06845,桅,0,木危,危聲,
U+06846,框,0,木匡,匡聲,
U+06848,案,1,安木,安聲,
U+0684A,桊,1,𠔉木,𠔉聲,
U+0684B,桋,0,木夷,夷聲,
U+0684D,桍,0,木夸,夸聲,
U+0684E,桎,0,木至,至聲,
U+0684F,桏,0,木邛,邛聲,
U+06850,桐,0,木同,同声　,
U+06851,桑,1,叒木,會意,
U+06853,桓,0,木亘,亘聲,
U+06854,桔,0,木吉,吉聲,
U+06859,桙,0,木牟,牟聲,
U+0685B,桛,0,木𠧗,国字,
U+0685D,桝,0,木舛,国字,
U+06863,档,0,木当,当聲,
U+0686E,桮,0,木否,否聲,
U+0686F,桯,0,木呈,呈聲,
U+06870,桰,0,木𠯑,𠯑聲,
U+06871,桱,0,木巠,巠聲,
U+06874,桴,0,木孚,孚聲,
U+06875,桵,0,木妥,妥聲,
U+06876,桶,0,木甬,甬聲,
U+06877,桷,0,木角,角聲,
U+06879,桹,0,木良,良聲,
U+0687A,桺,0,木丣,丣聲,
U+0687C,桼,,桼,象形,
U+0687E,桾,0,木君,君聲,
U+06880,梀,0,木束,束聲,
U+06881,梁,1,0,氵刅木,
U+06882,梂,0,木求,求聲,
U+06883,梃,0,木廷,廷聲,
U+06885,梅,0,木毎,毎聲,
U+06887,梇,0,木弄,弄聲,
U+0688D,梍,0,木皂,皂亦聲,
U+0688E,梎,0,木皀,皀聲,
U+0688F,梏,0,木告,告聲,
U+06890,梐,0,木陛,陛省聲,
U+06893,梓,0,木辛,辛聲,
U+06894,梔,0,木巵,巵聲,
U+0689B,梛,0,木那,那聲,
U+0689C,梜,0,木夾,夾聲,
U+0689D,條,8,攸木,攸聲,
U+068A0,梠,0,木呂,呂聲,
U+068A1,梡,0,木完,完聲,
U+068A2,梢,0,木肖,肖聲,
U+068A3,梣,0,木岑,岑聲,
U+068A4,梤,0,木㞣,㞣聲,
U+068A7,梧,0,木吾,吾聲,
U+068A9,梩,0,木里,里聲,
U+068AA,梪,0,木豆,會意,
U+068AC,梬,0,木甹,甹聲,
U+068AD,梭,0,木夋,夋聲,
U+068AF,梯,0,木弟,弟聲,
U+068B0,械,0,木戒,戒聲,
U+068B2,梲,0,木兌,兌聲,
U+068B3,梳,0,木疏,疏省聲,
U+068B4,梴,0,木延,延聲,
U+068B5,梵,1,林凡,凡聲,
U+068B6,梶,0,木尾,尾聲,
U+068BA,梺,1,林下,国字,
U+068BB,梻,0,木佛,国字,
U+068C3,棃,1,𥝢木,𥝢聲,
U+068C4,棄,3,𠫓𠦒廾,𠫓聲,
U+068C5,棅,0,木秉,秉聲,
U+068C6,棆,0,木侖,侖聲,
U+068C9,棉,0,木綿,綿聲,
U+068CB,棋,0,木其,其聲,
U+068CD,棍,0,木昆,昆聲,
U+068D0,棐,1,非木,非聲,
